OIL_VOL,GAS_VOL,WAT_VOL,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,DAYTIME,id_model,model_type
1644.9842404766619,242972.1912831735,797.7036265286912,1683.12,251485.94,814.62,2015-06-02,fae3f457-4284-4bd7-9b65-85368744d855,LR
1649.7269722376143,243793.87565162545,799.7370751520227,1666.9,247522.78,800.31,2015-06-03,fae3f457-4284-4bd7-9b65-85368744d855,LR
1627.00872116683,240357.9138080038,785.395058396195,1659.03,245330.67,772.01,2015-06-04,fae3f457-4284-4bd7-9b65-85368744d855,LR
1619.314749846626,238874.03605770602,757.848453355156,1663.57,242392.34,744.34,2015-06-05,fae3f457-4284-4bd7-9b65-85368744d855,LR
1628.6459469118138,238596.23353122163,729.6065552281144,1651.21,240468.11,740.89,2015-06-06,fae3f457-4284-4bd7-9b65-85368744d855,LR
1625.4714389678927,237728.567408064,726.4515417450076,1497.33,224020.12,795.66,2015-06-07,fae3f457-4284-4bd7-9b65-85368744d855,LR
1471.5840919512411,218325.72478019627,780.4672398921606,1673.32,243394.87,760.41,2015-06-08,fae3f457-4284-4bd7-9b65-85368744d855,LR
1636.8298236490973,239698.7025807202,745.2309483739108,1655.26,240518.59,736.28,2015-06-09,fae3f457-4284-4bd7-9b65-85368744d855,LR
1619.0257759176036,237165.16407493933,722.3195974742298,1633.02,237106.61,715.94,2015-06-10,fae3f457-4284-4bd7-9b65-85368744d855,LR
1600.112365505843,234465.90593770187,703.1863513056688,1616.16,235207.3,777.67,2015-06-11,fae3f457-4284-4bd7-9b65-85368744d855,LR
1590.3916121151572,233155.12669090752,762.919184080845,1616.27,235818.42,714.98,2015-06-12,fae3f457-4284-4bd7-9b65-85368744d855,LR
1586.8475239329277,233059.75724453214,703.5423170466702,1597.64,230357.05,710.08,2015-06-13,fae3f457-4284-4bd7-9b65-85368744d855,LR
1572.6120644923426,229946.20052524054,697.9508472227789,1579.97,229962.62,751.74,2015-06-14,fae3f457-4284-4bd7-9b65-85368744d855,LR
1566.0186933346777,229783.2127867076,740.3027679732302,1583.82,229528.6,732.37,2015-06-15,fae3f457-4284-4bd7-9b65-85368744d855,LR
1568.354061480274,229744.69706701802,721.1680950308449,1566.01,226813.46,741.97,2015-06-16,fae3f457-4284-4bd7-9b65-85368744d855,LR
1553.6378284527736,227610.03046243804,730.7595969868199,1550.64,226763.9,742.28,2015-06-17,fae3f457-4284-4bd7-9b65-85368744d855,LR
1541.1102921343906,226728.6455374146,732.7287730672148,1553.41,225992.48,729.75,2015-06-18,fae3f457-4284-4bd7-9b65-85368744d855,LR
1541.6615200992483,226285.47709470053,720.7711272392545,1538.14,228282.71,715.2,2015-06-19,fae3f457-4284-4bd7-9b65-85368744d855,LR
1527.1649174961692,226206.8452777566,710.7868916251488,1574.94,233029.77,734.13,2015-06-20,fae3f457-4284-4bd7-9b65-85368744d855,LR
1557.0984279768968,230342.17881493617,726.5296861946476,1568.89,233713.25,753.85,2015-06-21,fae3f457-4284-4bd7-9b65-85368744d855,LR
1556.453344057801,230838.63344797795,746.9827474061134,1597.79,236337.87,761.69,2015-06-22,fae3f457-4284-4bd7-9b65-85368744d855,LR
1577.2759464571081,233160.1976658687,752.6068144348955,1606.67,237672.39,785.25,2015-06-23,fae3f457-4284-4bd7-9b65-85368744d855,LR
1592.5453150036128,235258.0131678878,776.2127007826255,1622.92,238931.37,799.2,2015-06-24,fae3f457-4284-4bd7-9b65-85368744d855,LR
1607.5434857383266,236903.49654362304,788.8606310792571,1649.49,242900.78,832.15,2015-06-25,fae3f457-4284-4bd7-9b65-85368744d855,LR
1634.5967519022229,240758.33240603624,820.9600515400266,1650.64,241547.04,847.34,2015-06-26,fae3f457-4284-4bd7-9b65-85368744d855,LR
1647.7030712507342,241893.09819845247,836.3040526023434,1662.45,242839.85,854.16,2015-06-27,fae3f457-4284-4bd7-9b65-85368744d855,LR
1651.689722518993,242256.40134814344,842.0159500138058,1465.02,214196.69,729.55,2015-06-28,fae3f457-4284-4bd7-9b65-85368744d855,LR
1428.0997689732435,210918.63040353783,716.2494355451128,1545.73,222177.3,739.78,2015-06-29,fae3f457-4284-4bd7-9b65-85368744d855,LR
1506.8860421183808,220445.0504015782,725.2488213041639,1618.91,230823.14,744.73,2015-06-30,fae3f457-4284-4bd7-9b65-85368744d855,LR
1581.2878294055806,230141.59068030588,728.8948371660924,1681.69,248784.6,891.53,2015-07-01,fae3f457-4284-4bd7-9b65-85368744d855,LR
